case,level,agl_median_m,agl_min_m,agl_max_m,speed_mean,speed_p95,speed_max,w_abs_p99,w_abs_max,w_grid_abs_p99,w_grid_abs_max
v2_auto1_n80_top12_s26,50,4614.396240234375,3553.24072265625,5549.849609375,5.323737144470215,10.366268157958984,11.139527320861816,0.2724872827529907,6.236415386199951,0.33647918701171875,7.383508682250977
v2_auto1_n80_top12_s26,51,4779.598388671875,3712.375,5718.6943359375,5.464903354644775,10.278998374938965,10.905461311340332,0.2775833010673523,6.386621952056885,0.34319162368774414,7.462155818939209
v2_auto1_n80_top12_s26,52,4947.859375,3874.822265625,5889.8779296875,5.380586624145508,9.938916206359863,10.61667251586914,0.3025685250759125,6.426258087158203,0.3664068877696991,7.397918224334717
v2_auto1_n80_top12_s26,53,5118.823486328125,4040.50537109375,6063.43408203125,5.19412899017334,9.530923843383789,10.540839195251465,0.3251202702522278,6.325728893280029,0.38431575894355774,7.157208442687988
v2_auto1_n80_top12_s26,54,5291.8690185546875,4209.34912109375,6239.3916015625,4.977026462554932,8.946393013000488,10.392969131469727,0.3437151610851288,6.076770305633545,0.4012306332588196,6.758853912353516
v2_auto1_n80_top12_s26,55,5468.564697265625,4381.28271484375,6417.7705078125,4.81709623336792,8.703258514404297,9.995736122131348,0.35277190804481506,5.6853532791137695,0.4013766944408417,6.201967716217041
v2_auto1_n80_top12_s26,56,5647.273681640625,4556.23388671875,6598.5830078125,4.6738996505737305,8.682415962219238,9.48779296875,0.35002896189689636,5.1779255867004395,0.39863520860671997,5.5508599281311035
v2_auto1_n80_top12_s26,57,5829.2098388671875,4734.13427734375,6781.833984375,4.544131278991699,8.654580116271973,9.608332633972168,0.35457906126976013,4.602020740509033,0.4042210578918457,4.851078033447266
v2_auto1_n80_top12_s26,58,6013.80615234375,4914.916015625,6967.5224609375,4.443122386932373,8.371706008911133,9.465338706970215,0.3633350431919098,4.003054618835449,0.4181554913520813,4.161034107208252
v2_auto1_n80_top12_s26,59,6200.3133544921875,5098.51318359375,7155.63916015625,4.42180061340332,7.8722405433654785,9.728745460510254,0.37824320793151855,3.437896490097046,0.43148595094680786,3.549767017364502
v2_auto1_n80_top12_s26,60,6389.5106201171875,5284.85791015625,7346.16845703125,4.4464921951293945,7.529473781585693,10.017895698547363,0.3908158242702484,2.945373773574829,0.4415353238582611,3.033782720565796
v2_auto1_n80_top12_s26,61,6581.796630859375,5473.88525390625,7539.08837890625,4.486431121826172,7.537119388580322,10.162186622619629,0.39917948842048645,2.5016238689422607,0.46132171154022217,2.5413312911987305
v2_auto1_n80_top12_s26,62,6775.7196044921875,5665.53076171875,7734.37255859375,4.464853286743164,7.670822620391846,9.868688583374023,0.42141154408454895,2.0835561752319336,0.47955334186553955,2.2595479488372803
v2_auto1_n80_top12_s26,63,6972.0274658203125,5859.72607421875,7931.98779296875,4.4807634353637695,7.6270012855529785,9.537027359008789,0.4355764091014862,2.047417640686035,0.48829424381256104,2.2484500408172607
v2_auto1_n80_top12_s26,64,7171.5384521484375,6056.40478515625,8131.89501953125,4.502146244049072,7.462166786193848,9.39196491241455,0.4495614767074585,2.0285143852233887,0.5045465230941772,2.250065326690674
v2_auto1_n80_top12_s26,65,7373.134033203125,6255.49755859375,8334.04833984375,4.431058406829834,7.4914326667785645,9.932127952575684,0.4662632644176483,2.0014610290527344,0.5210541486740112,2.1140458583831787
v2_auto1_n80_top12_s26,66,7576.8504638671875,6456.93505859375,8538.40283203125,4.538725852966309,7.953980922698975,10.267931938171387,0.47154510021209717,1.775423526763916,0.5122882723808289,1.7660319805145264
v2_auto1_n80_top12_s26,67,7782.826904296875,6660.64599609375,8744.90283203125,4.922975063323975,8.652186393737793,10.428694725036621,0.453465074300766,1.4179354906082153,0.479432612657547,1.315743088722229
v2_auto1_n80_top12_s26,68,7991.05615234375,6866.55322265625,8953.49169921875,5.582927227020264,8.889042854309082,11.208763122558594,0.4140140116214752,1.0204885005950928,0.427525132894516,0.8981025218963623
v2_auto1_n80_top12_s26,69,8201.38818359375,7074.58544921875,9164.10791015625,6.1611008644104,9.187309265136719,11.203482627868652,0.3764400780200958,0.654304027557373,0.39467915892601013,0.653365433216095
v2_auto1_n80_top12_s26,70,8413.714721679688,7284.66064453125,9376.68505859375,6.736298561096191,9.832568168640137,11.446826934814453,0.35227906703948975,0.6290581226348877,0.3838694989681244,0.6962716579437256
v2_auto1_n80_top12_s26,71,8627.885620117188,7496.69873046875,9591.15478515625,7.0144453048706055,9.748825073242188,12.27424144744873,0.34853607416152954,0.6281121373176575,0.37932002544403076,0.6478743553161621
